# CIE 1931 2-degree XYZ CMFs modified by Judd (1951) and Vos (1978).
# Wavelength (nm), x, y
380,0.1741,0.0050
385,0.1740,0.0050
390,0.1738,0.0049
395,0.1736,0.0049
400,0.1735,0.0048
405,0.1733,0.0048
410,0.1732,0.0048
415,0.1730,0.0048
420,0.1728,0.0048
425,0.1726,0.0048
430,0.1724,0.0048
435,0.1722,0.0048
440,0.1720,0.0048
445,0.1718,0.0048
450,0.1714,0.0048
455,0.1601,0.0177
460,0.1479,0.0337
465,0.1343,0.0542
470,0.1182,0.0818
475,0.1000,0.1182
480,0.0792,0.1655
485,0.0558,0.2259
490,0.0321,0.3005
495,0.0101,0.3879
500,0.0049,0.4851
505,0.0039,0.5878
510,0.0181,0.6874
515,0.0465,0.7719
520,0.0821,0.8335
525,0.1246,0.8696
530,0.1709,0.8845
535,0.2188,0.8837
540,0.2663,0.8716
545,0.3121,0.8519
550,0.3558,0.8262
555,0.3973,0.7963
560,0.4369,0.7634
565,0.4751,0.7282
570,0.5121,0.6913
575,0.5481,0.6531
580,0.5826,0.6143
585,0.6152,0.5756
590,0.6455,0.5375
595,0.6730,0.5008
600,0.6975,0.4651
605,0.7188,0.4312
610,0.7368,0.3996
615,0.7518,0.3707
620,0.7641,0.3448
625,0.7741,0.3218
630,0.7820,0.3016
635,0.7882,0.2841
640,0.7930,0.2691
645,0.7965,0.2564
650,0.7991,0.2458
655,0.8009,0.2371
660,0.8021,0.2299
665,0.8028,0.2239
670,0.8030,0.2190
675,0.8029,0.2148
680,0.8025,0.2113
685,0.8018,0.2082
690,0.8008,0.2056
695,0.7997,0.2033
700,0.7984,0.2012
